value,state,wstate,wstateval,ecity,ecityval,wcity,wcityval,,JOB TITLE VAL,JOB TITLE,,,,JOB TITLE VAL,JOB TITLE,,,W-CITY,W-CITY VAL,,,E-CITY,E-CITY VAL
1700,OR,HI,552,SOUTH PLAINFIELD,3299,IRVINE,3175,,2371,SALES ENGINEERS,,,,,,,,,,,,,
1528,SC,SC,2907,FARMINGTON HILLS,3267,MIAMI,2819,,2313,"FINANCIAL SPECIALISTS, ALL OTHER",,,,,,,,,,,,,
1267,LA,IN,6115,AUSTIN,3171,RICHMOND,2799,,2268,CHEMISTS,,,,,,,,,,,,,
1182,AL,CT,8133,COLLEGE STATION,3108,PRINCETON,2788,,2241,GRAPHIC DESIGNERS,,,,,,,,,,,,,
1054,RI,RI,2342,HERNDON,3054,CAMBRIDGE,2724,,1992,GENERAL AND OPERATIONS MANAGERS,,,,,,,,,,,,,
1034,NH,ND,454,LOS ANGELES,3031,MINNEAPOLIS,2665,,1989,"HEALTH SPECIALTIES TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
981,OK,NH,1417,FRISCO,2724,EDISON,2609,,1957,LOGISTICIANS,,,,,,,,,,,,,
975,NV,LA,1943,SAN DIEGO,2694,WILMINGTON,2485,,1868,FINANCIAL MANAGERS,,,,,,,,,,,,,
634,NM,WV,526,SOMERSET,2579,MCLEAN,2401,,1812,INFORMATION SECURITY ANALYSTS,,,,,,,,,,,,,
616,ID,MS,745,CUPERTINO,2507,MILPITAS,2349,,1788,"INTERNISTS, GENERAL",,,,,,,,,,,,,
588,PR,ID,874,RICHARDSON,2479,SAN ANTONIO,2308,,1756,LAWYERS,,,,,,,,,,,,,
515,MS,KS,2738,RICHMOND,2382,INDIANAPOLIS,2270,,1727,COMPUTER AND INFORMATION RESEARCH SCIENTISTS,,,,,,,,,,,,,
466,ME,MT,194,PLAINSBORO,2321,MENLO PARK,2264,,1649,COMPUTER SYSTEMS ENGINEERS/ARCHITECTS,,,,,,,,,,,,,
425,VT,SD,299,MENLO PARK,2309,PLEASANTON,2218,,1498,COMMERCIAL AND INDUSTRIAL DESIGNERS,,,,,,,,,,,,,
387,WV,AL,1735,CAMBRIDGE,2171,PISCATAWAY,2196,,1489,ARCHITECTURAL AND ENGINEERING MANAGERS,,,,,,,,,,,,,
354,HI,AR,2781,PITTSBURGH,2162,DURHAM,2145,,1379,HUMAN RESOURCES SPECIALISTS,,,,,,,,,,,,,
342,MP,AK,204,IRVINE,2079,BLOOMINGTON,2131,,1339,COMPUTER HARDWARE ENGINEERS,,,,,,,,,,,,,
338,GU,GU,341,COLUMBUS,2077,BROOKLYN,2086,,1329,"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",,,,,,,,,,,,,
316,ND,VT,407,WASHINGTON,2033,DEARBORN,2055,,1270,MATERIALS ENGINEERS,,,,,,,,,,,,,
227,SD,PR,562,MILPITAS,2027,CARY,2013,,1230,PUBLIC RELATIONS SPECIALISTS,,,,,,,,,,,,,
123,MT,MP,350,NASHVILLE,1995,CUPERTINO,1995,,1160,"DENTISTS, GENERAL",,,,,,,,,,,,,
107,WY,WY,144,ALISO VIEJO,1970,JACKSONVILLE,1949,,1146,"BUSINESS TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
82,AK,VI,51,DUBLIN,1962,BALTIMORE,1938,,1123,MEDICAL AND CLINICAL LABORATORY TECHNOLOGISTS,,,,,,,,,,,,,
57,VI,ME,657,WESTBOROUGH,1957,TROY,1911,,1102,CHEMICAL ENGINEERS,,,,,,,,,,,,,
1,FM,,0,SCHAUMBURG,1909,CINCINNATI,1900,,1101,"SECONDARY SCHOOL TEACHERS, EXCEPT SPECIAL AND",,,,,,,,,,,,,
1,AS,PW,2,LOUISVILLE,1852,WARREN,1876,,1100,"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",,,,,,,,,,,,,
,,FM,1,NEWARK,1809,SAN RAMON,1874,,1070,BIOLOGICAL TECHNICIANS,,,,,,,,,,,,,
,,,,ASHBURN,1757,RESTON,1818,,1061,COMPUTER NETWORK ARCHITECTS,,,,,,,,,,,,,
,,,,BROOKLYN,1729,HERNDON,1808,,1045,"ENGINEERING TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,WILMINGTON,1723,NASHVILLE,1790,,1042,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER*",,,,,,,,,,,,,
,,,,PLEASANTON,1702,NEWARK,1776,,1035,BIOMEDICAL ENGINEERS,,,,,,,,,,,,,
,,,,CHARLOTTE,1691,AUBURN HILLS,1771,,1032,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",,,,,,,,,,,,,
,,,,SOUTHFIELD,1682,FORT WORTH,1770,,1025,ARCHITECTURAL AND CIVIL DRAFTERS,,,,,,,,,,,,,
,,,,MIAMI,1658,FRISCO,1737,,1010,COMPLIANCE OFFICERS,,,,,,,,,,,,,
,,,,FAIRFAX,1599,DETROIT,1716,,1009,ECONOMISTS,,,,,,,,,,,,,
,,,,REDWOOD CITY,1597,SCHAUMBURG,1678,,966,SALES MANAGERS,,,,,,,,,,,,,
,,,,NORTH BRUNSWICK,1592,PORTLAND,1641,,867,"MANAGERS, ALL OTHER",,,,,,,,,,,,,
,,,,SUNRISE,1559,SAN MATEO,1640,,853,INFORMATION TECHNOLOGY PROJECT MANAGERS,,,,,,,,,,,,,
,,,,SAN MATEO,1512,SOMERSET,1627,,824,MATERIALS SCIENTISTS,,,,,,,,,,,,,
,,,,COLUMBIA,1478,COLUMBIA,1599,,824,COMPUTER NETWORK SUPPORT SPECIALISTS,,,,,,,,,,,,,
,,,,MOON TOWNSHIP,1467,HARTFORD,1580,,811,PHYSICISTS,,,,,,,,,,,,,
,,,,MINNEAPOLIS,1454,ORLANDO,1580,,811,PHARMACISTS,,,,,,,,,,,,,
,,,,CHANTILLY,1453,BENTONVILLE,1550,,799,COST ESTIMATORS,,,,,,,,,,,,,
,,,,STERLING,1440,MADISON,1528,,773,"MATHEMATICAL SCIENCE TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,DETROIT,1403,LOUISVILLE,1526,,743,CHIEF EXECUTIVES,,,,,,,,,,,,,
,,,,SAN RAMON,1390,SALT LAKE CITY,1519,,742,"TRANSPORTATION, STORAGE, AND DISTRIBUTION MANAGERS",,,,,,,,,,,,,
,,,,OMAHA,1370,DUBLIN,1513,,739,CREDIT ANALYSTS,,,,,,,,,,,,,
,,,,DULUTH,1348,REDWOOD CITY,1505,,733,INDUSTRIAL PRODUCTION MANAGERS,,,,,,,,,,,,,
,,,,ROUND ROCK,1346,MEMPHIS,1501,,687,CONSTRUCTION MANAGERS,,,,,,,,,,,,,
,,,,PHOENIX,1345,OMAHA,1482,,681,MEDICAL AND HEALTH SERVICES MANAGERS,,,,,,,,,,,,,
,,,,ST. LOUIS,1341,ST. LOUIS,1481,,679,"COMPUTER SCIENCE TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,NAPERVILLE,1290,MILWAUKEE,1435,,662,"HEALTHCARE PRACTITIONERS AND TECHNICAL WORKERS,",,,,,,,,,,,,,
,,,,ANN ARBOR,1270,PARSIPPANY,1398,,662,ACTUARIES,,,,,,,,,,,,,
,,,,ROCHESTER,1257,HILLSBORO,1379,,656,FAMILY AND GENERAL PRACTITIONERS,,,,,,,,,,,,,
,,,,SPRINGFIELD,1243,DENVER,1340,,614,TRAINING AND DEVELOPMENT SPECIALISTS,,,,,,,,,,,,,
,,,,EXTON,1243,ROCHESTER,1331,,599,INTERIOR DESIGNERS,,,,,,,,,,,,,
,,,,JACKSONVILLE,1233,WALTHAM,1321,,597,"FOREIGN LANGUAGE AND LITERATURE TEACHERS,",,,,,,,,,,,,,
,,,,BENTONVILLE,1231,ANN ARBOR,1301,,595,MULTIMEDIA ARTISTS AND ANIMATORS,,,,,,,,,,,,,
,,,,WOBURN,1229,RALEIGH,1297,,576,COMPUTER USER SUPPORT SPECIALISTS,,,,,,,,,,,,,
,,,,INDIANAPOLIS,1226,FARMINGTON HILLS,1239,,570,FOOD SCIENTISTS AND TECHNOLOGISTS,,,,,,,,,,,,,
,,,,CINCINNATI,1212,FOSTER CITY,1220,,552,BUDGET ANALYSTS,,,,,,,,,,,,,
,,,,RESTON,1191,ISELIN,1200,,530,MATHEMATICIANS,,,,,,,,,,,,,
,,,,FOSTER CITY,1163,SOUTH PLAINFIELD,1175,,530,ENVIRONMENTAL ENGINEERS,,,,,,,,,,,,,
,,,,BALTIMORE,1153,DORAL,1145,,517,OCCUPATIONAL THERAPISTS,,,,,,,,,,,,,
,,,,CARY,1127,EXTON,1142,,499,MICROBIOLOGISTS,,,,,,,,,,,,,
,,,,MEMPHIS,1123,STAMFORD,1141,,491,"PEDIATRICIANS, GENERAL",,,,,,,,,,,,,
,,,,LIVONIA,1098,CLEVELAND,1138,,473,VETERINARIANS,,,,,,,,,,,,,
,,,,DORAL,1040,ARLINGTON,1133,,473,INSTRUCTIONAL COORDINATORS,,,,,,,,,,,,,
,,,,BURLINGTON,1011,ROCKVILLE,1126,,468,"GEOSCIENTISTS, EXCEPT HYDROLOGISTS AND GEOGRAPHERS",,,,,,,,,,,,,
,,,,MCLEAN,982,MIDDLETOWN,1124,,464,SOIL AND PLANT SCIENTISTS,,,,,,,,,,,,,
,,,,MONMOUTH JUNCTION,964,SOUTHFIELD,1123,,445,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D",,,,,,,,,,,,,
,,,,WARREN,955,SCOTTSDALE,1122,,445,SOCIAL SCIENCE RESEARCH ASSISTANTS,,,,,,,,,,,,,
,,,,SAN ANTONIO,949,TEMPE,1117,,431,NATURAL SCIENCES MANAGERS,,,,,,,,,,,,,
,,,,PARSIPPANY,948,EL SEGUNDO,1111,,429,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, ALL",,,,,,,,,,,,,
,,,,WALTHAM,947,ENGLEWOOD,1102,,414,"ECONOMICS TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,RALEIGH,927,BURLINGTON,1090,,413,ART DIRECTORS,,,,,,,,,,,,,
,,,,BLOOMINGTON,925,MALVERN,1087,,405,ADVERTISING AND PROMOTIONS MANAGERS,,,,,,,,,,,,,
,,,,NORCROSS,919,WOODLAND HILLS,1085,,399,COMPUTER PROGRAMMER,,,,,,,,,,,,,
,,,,SHREWSBURY,903,OVERLAND PARK,1069,,398,SPEECH-LANGUAGE PATHOLOGISTS,,,,,,,,,,,,,
,,,,BRIDGEWATER,894,ALBANY,1067,,395,TECHNICAL WRITERS,,,,,,,,,,,,,
,,,,SHORT HILLS,883,KANSAS CITY,1063,,391,"SECURITIES, COMMODITIES, AND FINANCIAL SERVICES",,,,,,,,,,,,,
,,,,NOVI,874,RIVERWOODS,1001,,389,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND",,,,,,,,,,,,,
,,,,AURORA,848,DEERFIELD,993,,381,"BIOLOGICAL SCIENCE TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,OVERLAND PARK,846,BOTHELL,979,,379,EDITORS,,,,,,,,,,,,,
,,,,DENVER,840,COLLIERVILLE,969,,369,PSYCHIATRISTS,,,,,,,,,,,,,
,,,,ARLINGTON,834,SACRAMENTO,958,,368,FASHION DESIGNERS,,,,,,,,,,,,,
,,,,ORLANDO,827,BETHESDA,948,,367,HUMAN RESOURCES MANAGERS,,,,,,,,,,,,,
,,,,MADISON,823,GLENDALE,926,,332,COACHES AND SCOUTS,,,,,,,,,,,,,
,,,,MILWAUKEE,815,CHANDLER,910,,326,MANAGEMENT ANALYST,,,,,,,,,,,,,
,,,,NORTH KANSAS CITY,805,ASHBURN,908,,324,PURCHASING MANAGERS,,,,,,,,,,,,,
,,,,REDWOODSHORES,791,STERLING,894,,305,PRODUCERS AND DIRECTORS,,,,,,,,,,,,,
,,,,NORTHVILLE,784,RICHFIELD,891,,303,JUDICIAL LAW CLERKS,,,,,,,,,,,,,
,,,,CHANDLER,773,NORTH BRUNSWICK,889,,299,AEROSPACE ENGINEERS,,,,,,,,,,,,,
,,,,MORRISTOWN,761,SANTA MONICA,887,,297,NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR,,,,,,,,,,,,,
,,,,SCOTTSDALE,756,MORRISVILLE,881,,295,"TEACHERS AND INSTRUCTORS, ALL OTHER*",,,,,,,,,,,,,
,,,,FORT WORTH,755,GREENVILLE,880,,295,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS,",,,,,,,,,,,,,
,,,,PASADENA,750,EDEN PRAIRIE,871,,295,"EDUCATION ADMINISTRATORS, POSTSECONDARY",,,,,,,,,,,,,
,,,,EL SEGUNDO,746,SHREWSBURY,853,,295,"ART, DRAMA, AND MUSIC TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,PORTLAND,724,NORTHBROOK,852,,294,LANDSCAPE ARCHITECTS,,,,,,,,,,,,,
,,,,SANTA MONICA,722,LAS VEGAS,840,,293,"TEACHERS AND INSTRUCTORS, ALL OTHER",,,,,,,,,,,,,
,,,,CLEVELAND,718,NOVI,837,,291,PETROLEUM ENGINEERS,,,,,,,,,,,,,
,,,,AUBURN HILLS,714,BRIDGEWATER,836,,281,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL",,,,,,,,,,,,,
,,,,CRANBURY,714,NAPERVILLE,835,,279,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL",,,,,,,,,,,,,
,,,,CHESTERFIELD,714,GAITHERSBURG,833,,273,PARALEGALS AND LEGAL ASSISTANTS*,,,,,,,,,,,,,
,,,,SALT LAKE CITY,711,SOUTH SAN FRANCISCO,826,,272,PARALEGALS AND LEGAL ASSISTANTS,,,,,,,,,,,,,
,,,,ARLINGTON HEIGHTS,693,FRANKLIN,820,,265,"SOFTWARE DEVELOPER, APPLICATIONS",,,,,,,,,,,,,
,,,,DAYTON,686,PASADENA,815,,254,REGISTERED NURSES,,,,,,,,,,,,,
,,,,ENGLEWOOD,684,ROUND ROCK,807,,250,"DESIGNERS, ALL OTHER",,,,,,,,,,,,,
,,,,RESEARCH TRIANGLE PARK,678,SAINT LOUIS,803,,248,REPORTERS AND CORRESPONDENTS,,,,,,,,,,,,,
,,,,EVANSTON,677,BEAVERTON,801,,246,URBAN AND REGIONAL PLANNERS,,,,,,,,,,,,,
,,,,BETHESDA,674,TORRANCE,796,,240,"MEETING, CONVENTION, AND EVENT PLANNERS",,,,,,,,,,,,,
,,,,LAS VEGAS,665,DULUTH,779,,237,"COMPUTER SYSTEMS ANALYSTS, NON R&D",,,,,,,,,,,,,
,,,,STAMFORD,663,LAKE MARY,772,,229,"EDUCATION TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,MANCHESTER,660,QUINCY,762,,227,"PHYSICAL SCIENTISTS, ALL OTHER",,,,,,,,,,,,,
,,,,BRONX,655,OAKLAND,761,,227,"CHEMISTRY TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,KATY,652,OAK BROOK,743,,226,INTERPRETERS AND TRANSLATORS,,,,,,,,,,,,,
,,,,CARROLLTON,635,WORCESTER,742,,221,"SALES REPRESENTATIVES, WHOLESALE AND",,,,,,,,,,,,,
,,,,EAST HARTFORD,616,LIVONIA,739,,220,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND",,,,,,,,,,,,,
,,,,CUMMING,610,SPRINGFIELD,736,,218,"LIFE SCIENTISTS, ALL OTHER",,,,,,,,,,,,,
,,,,GREENWOOD VILLAGE,605,LONG ISLAND CITY,726,,207,SOCIAL AND COMMUNITY SERVICE MANAGERS,,,,,,,,,,,,,
,,,,WORCESTER,603,PLYMOUTH,726,,203,PUBLIC RELATIONS AND FUNDRAISING MANAGERS,,,,,,,,,,,,,
,,,,MORRISVILLE,593,HOBOKEN,722,,200,"MECHANICAL ENGINEERS, R&D",,,,,,,,,,,,,
,,,,NEWTOWN,585,AURORA,716,,199,"HEALTH AND SAFETY ENGINEERS, EXCEPT MINING SAFETY",,,,,,,,,,,,,
,,,,OAK BROOK,578,BRONX,714,,195,SURGEONS,,,,,,,,,,,,,
,,,,KING OF PRUSSIA,572,ST LOUIS,707,,195,"PHYSICS TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,FLUSHING,572,NORTH KANSAS CITY,705,,194,MENTAL HEALTH COUNSELORS,,,,,,,,,,,,,
,,,,ADDISON,571,LEXINGTON,696,,191,"FARMERS, RANCHERS, AND OTHER AGRICULTURAL MANAGERS",,,,,,,,,,,,,
,,,,SUWANEE,569,HARRISBURG,692,,190,"POSTSECONDARY TEACHERS, ALL OTHER",,,,,,,,,,,,,
,,,,NATICK,569,CARROLLTON,684,,182,"POLITICAL SCIENCE TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,HOFFMAN ESTATES,568,ADDISON,684,,181,"ELECTRICAL ENGINEERS, R&D",,,,,,,,,,,,,
,,,,KANSAS CITY,565,MELVILLE,682,,181,"COMMUNICATIONS TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,BUFFALO,564,NORFOLK,668,,173,"KINDERGARTEN TEACHERS, EXCEPT SPECIAL EDUCATION",,,,,,,,,,,,,
,,,,FARMERS BRANCH,564,EAGAN,667,,167,HEALTH EDUCATORS,,,,,,,,,,,,,
,,,,RIVERWOODS,560,BOISE,664,,167,FOOD SERVICE MANAGERS,,,,,,,,,,,,,
,,,,COPPELL,558,RESEARCH TRIANGLE PARK,657,,161,EPIDEMIOLOGISTS,,,,,,,,,,,,,
,,,,DULLES,554,HOFFMAN ESTATES,654,,160,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D",,,,,,,,,,,,,
,,,,STANFORD,549,VIENNA,652,,159,TRAINING AND DEVELOPMENT MANAGERS,,,,,,,,,,,,,
,,,,CLEARWATER,538,PLAINSBORO,641,,159,"DENTISTS, ALL OTHER SPECIALISTS",,,,,,,,,,,,,
,,,,WOODBRIDGE,535,DES MOINES,631,,156,REHABILITATION COUNSELORS,,,,,,,,,,,,,
,,,,LEWISVILLE,533,BUFFALO,624,,153,STATISTICAL ASSISTANTS,,,,,,,,,,,,,
,,,,VIENNA,529,MASON,619,,153,"PSYCHOLOGY TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,TYSONS,528,FOLSOM,604,,151,"ENGLISH LANGUAGE AND LITERATURE TEACHERS,",,,,,,,,,,,,,
,,,,ROSWELL,527,NORCROSS,603,,150,MARINE ENGINEERS AND NAVAL ARCHITECTS,,,,,,,,,,,,,
,,,,GLENDALE,524,GREENSBORO,599,,148,SURVEY RESEARCHERS,,,,,,,,,,,,,
,,,,SAN JUAN,515,SUGAR LAND,595,,145,NURSE PRACTITIONERS,,,,,,,,,,,,,
,,,,WIXOM,513,BIRMINGHAM,594,,145,"MEDIA AND COMMUNICATION WORKERS, ALL OTHER",,,,,,,,,,,,,
,,,,JOHNS CREEK,510,COSTA MESA,590,,143,"PHILOSOPHY AND RELIGION TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,SUGAR LAND,508,CHANTILLY,586,,142,OPTOMETRISTS,,,,,,,,,,,,,
,,,,SOUTH SAN FRANCISCO,507,LITTLE ROCK,582,,141,"PRESCHOOL TEACHERS, EXCEPT SPECIAL EDUCATION",,,,,,,,,,,,,
,,,,LITTLE ROCK,500,NATICK,579,,133,"ARCHITECTURE TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,LA JOLLA,494,WESTBOROUGH,575,,129,WRITERS AND AUTHORS,,,,,,,,,,,,,
,,,,HOBOKEN,494,SAN BRUNO,559,,128,EXERCISE PHYSIOLOGISTS,,,,,,,,,,,,,
,,,,GLEN ALLEN,485,LONG BEACH,558,,126,ADMINISTRATIVE SERVICES MANAGERS,,,,,,,,,,,,,
,,,,SOUTHLAKE,484,FRAMINGHAM,558,,125,"MINING AND GEOLOGICAL ENGINEERS, INCLUDING MINING",,,,,,,,,,,,,
,,,,OAKLAND,484,BERKELEY,557,,124,PERSONAL FINANCIAL ADVISORS,,,,,,,,,,,,,
,,,,GREENVILLE,483,OWINGS MILLS,557,,121,ATMOSPHERIC AND SPACE SCIENTISTS,,,,,,,,,,,,,
,,,,BROOKFIELD,482,WAYNE,556,,119,"SPECIAL EDUCATION TEACHERS, KINDERGARTEN AND",,,,,,,,,,,,,
,,,,CITY OF INDUSTRY,476,BOULDER,546,,119,OBSTETRICIANS AND GYNECOLOGISTS,,,,,,,,,,,,,
,,,,EAST MOLINE,476,MARLBOROUGH,540,,117,ASTRONOMERS,,,,,,,,,,,,,
,,,,PARLIN,474,ARLINGTON HEIGHTS,540,,117,"AIRLINE PILOTS, COPILOTS, AND FLIGHT ENGINEERS",,,,,,,,,,,,,
,,,,PLYMOUTH,474,WEST CHESTER,538,,114,"CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS",,,,,,,,,,,,,
,,,,FOLSOM,473,COPPELL,538,,112,"COMPENSATION, BENEFITS, AND JOB ANALYSIS",,,,,,,,,,,,,
,,,,NEWTOWN SQUARE,469,BRENTWOOD,538,,111,"HISTORY TEACHERS, POSTSECONDARY",,,,,,,,,,,,,
,,,,BEDFORD,466,NORWALK,537,,110,"SPECIAL EDUCATION TEACHERS, SECONDARY SCHOOL",,,,,,,,,,,,,
,,,,LAWRENCEVILLE,461,GREENWOOD VILLAGE,522,,110,"LEGAL SUPPORT WORKERS, ALL OTHER",,,,,,,,,,,,,
,,,,SIMI VALLEY,461,MCKINNEY,522,,108,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS",,,,,,,,,,,,,
